"","kmeans","agnes euclidean","pam maximum"
"1",5.45,4.96,8.73
"2",5.89,6.07,7.78
"3",6.63,6.38,8.33
"4",6.94,7.67,8.7
"5",7.37,8.22,10.16
"6",7.63,8.71,9.72
"7",9.42,9.64,10.81
"8",9.79,10.05,10.95
"9",9.65,10.76,11.68
"10",10.96,10.25,11.91
"11",11.13,11.17,12.15
"12",11.62,12.41,12.77
"13",12.35,12.91,12.95
"14",13.1,13.4,13.77
"15",12.6,12.62,13.49
"16",13.07,13.08,14.02
"17",13.35,11.55,14.12
"18",13.28,11.95,14.07
"19",13.47,11.27,13.81
"20",13.79,10.44,14.27
"21",13.66,10.64,14.25
"22",13.79,8.17,13.96
"23",13.76,7.63,13.86
"24",13.95,8.08,14.12
"25",13.8,6.21,13.94
"26",13.77,5.18,13.97
"27",14.05,4.34,13.7
"28",14.06,4.38,14.12
"29",13.95,3.29,14.33
"30",14.26,2.91,14.22
"31",14.2,2.41,14.11
"32",13.78,2.31,13.56
"33",13.66,2.19,12.72
"34",13.42,2.23,12.97
"35",12.07,2.14,11.59
"36",10.69,2.19,9.82
"37",9.95,2.33,7.59
"38",9.61,2.27,5.69
"39",9.1,2.41,6.26
"40",7.97,2.36,5.45
"41",8.35,2.23,5.78
"42",8.13,2.97,7.62
"43",8.72,2.42,8.18
"44",8.59,2.28,8.18
"45",9.07,2.51,8.65
"46",10.01,2.42,10
"47",10.73,2.46,10.84
"48",11.78,2.36,12.19
"49",12.39,2.81,12.82
"50",7.66,2.98,9.9
