"","hclust","pam","kmeans"
"1",7.6,9,6.5
"2",7.3,8.4,7
"3",7.2,9.5,7.2
"4",9.7,10.2,8.3
"5",6.8,11.8,6
"6",9.3,9.7,11.9
"7",11.1,8.1,8.1
"8",11.9,10.6,12
"9",11.4,13.7,10.3
"10",10.3,12.9,12.1
"11",12.3,13.4,10.9
"12",12.9,11.7,12.6
"13",12.6,13,12.5
"14",13.6,13.7,13.6
"15",12.2,13.6,11.9
"16",12,13.7,11.4
"17",10.3,14,13.3
"18",10.8,14.2,13.2
"19",9.6,13.2,12.5
"20",8.3,14.8,13.3
"21",10.1,14.5,12.7
"22",8.2,14.3,13.5
"23",7,14.4,14.1
"24",5.8,14.6,13.6
"25",8,14.6,13.8
"26",5.7,13,12.2
"27",2,14.8,14.2
"28",2,14.7,14.2
"29",2,14.7,13.8
"30",2,14.7,14.4
"31",3.3,13.5,14.6
"32",2.2,14.6,13.9
"33",2,14.4,14.4
"34",2.3,13.4,14.3
"35",2.3,9.4,9.1
"36",2.5,9.8,6.9
"37",2.4,6,8.1
"38",2.4,7.4,5.8
"39",2.3,7.3,8.3
"40",2.5,5.1,5.4
"41",2.3,3.4,3.1
"42",2.1,5.2,3.3
"43",2.2,2,4.3
"44",2.2,3.6,3.3
"45",2.2,3.5,5.7
"46",3.3,6,6.9
"47",2.1,8.7,8.1
"48",2.3,11.3,10.8
"49",2,12.4,12.1
"50",3.5,8.2,6.8
